source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
BBC News,http://news.bbc.co.uk/2/hi/asia-pacific/7710105.stm,874,11/01/2008 12:00:00 AM,,"Kunming, Yunnan","Yunnan has so far reported 40 deaths and 43 people missing with another 1.3 million affected by the landslides and mud-rock flows. Chuxiong, the hardest-hit area, reported 24 deaths and 42 people missing; In Kunming, the capital of Yunnan, four people died and torrents of mud have flowed through towns and villages elsewhere, the China Daily said.","Kunming, Yunnan",25km,complex,downpour,medium,unknown,4,,,,,glc,874,China,CN,Yunnan,1023674,Kunming,6.82298,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,102.695,25.0967
Oregon DOT,,8253,12/21/2014 08:10:00 AM,,"US 30, milepost 29",,"US 30, milepost 29",exact,landslide,unknown,unknown,above_road,0,0,,,,glc,8253,United States,US,Oregon,12883,Saint Helens,0.87786,07/05/2016 06:26:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.8178,45.8647
Salem-News.com,http://www.salem-news.com/articles/january012009/hoodland_closure_1-1-09.php,954,01/01/2009 10:24:00 PM,,South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,"Oregon State Police and Hoodland Fire Department are on scene of a large mud slide blocking all lanes of Highway 26 between Cherryville Hill and Brightwood.  The mud slide and debris is preliminarily estimated to be up to 2 feet deep and 80 - 100 yards in width. Police say Thursday at approximately 10:24 PM, reports were received of the mud slide that came from the south side of Highway 26 between milepost 34 and 35.",South side of Highway 26 between Cherryville Hill and Brightwood. Oregon,10km,mudslide,rain,small,unknown,0,,,,,glc,954,United States,US,Oregon,4864,Mount Hood Village,7.43093,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.0704,45.377
Vietnamnet,http://english.vietnamnet.vn/fms/society/181263/rain-triggered-floods--landslides-kill-six-in-ha-giang.html,9958,07/03/2017 02:33:00 PM,,Landslides block roads,Landslides after heavy storms block roads to Xin Cai and Son Vi communes,"Huyện Mèo Vạc, Hà Giang",10km,landslide,downpour,small,above_road,0,0,,,Date very approximate as article is sparse,,,,,,,,,07/05/2017 02:33:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,105.5299971,23.14383048
ABS-CBN News,http://news.abs-cbn.com/nation/regions/01/03/09/landslide-matnog-forces-hospital-evacuation,955,01/02/2009 08:30:00 PM,,"Gadgaron village of Matnog town, Sorsogon ","A landslide hit the village in barangay Gadgaron, Matnog town, Sorsogon province around eight o' clock Friday evening. Gadgaron village chief Juanito Gamit said incessant rains these past few days softened the mountain slope, and strong rains Friday evering triggered the 

erosion. Houses near and in front of the eroded mountain were not affected, but a truck parked beneath the mountain was partly buried. The mountain is located along the national road of barangay Gadgaron in Matnog. 1 man was injured.","Gadgaron village of Matnog town, Sorsogon ",5km,landslide,downpour,medium,unknown,0,1,,,,glc,955,Philippines,PH,Bicol,6721,Matnog,5.5353,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,124.0419,12.5655
OregonLive The Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/landslide_plows_through_lake_o.html,957,01/03/2009 12:00:00 AM,,"Suburban Portland, Oregon.","A mud slide destroyed a home in suburban Portland, Oregon. And heavy rains forced dozens of homes to be evacuated in the area. Dozens of roads were flooded.  In Clackamas County, floodwater washed into the Estacada library, ruining thousands of books before receding and leaving behind a layer of silt. ","Suburban Portland, Oregon.",10km,mudslide,rain,small,unknown,0,,,,,glc,957,United States,US,Oregon,583776,Portland,0.55624,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.67,45.521
GoUpstate.com,http://www.goupstate.com/news/20090107/2-escape-with-their-lives-after-mudslide-levels-home,958,01/07/2009 01:41:00 AM,,"Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ","A mudslide on Wildcat Run Road off Dogwood Drive in Maggie Valley left a creek side home looking like a pile of matchsticks.  The slide was reported at 1:41 a.m. today, according to a release from Haywood County spokesman David Teague. While it is too early to tell the exact factors that contributed to the collapse, Shuping said a rain Gage located at Soco indicated 5.5 inches of rain had fallen in the area in the last 24 hours and that officials would continue to monitor the possible effects of the weather throughout the day. ","Wildcat Run Road off Dogwood Drive in Maggie Valley, North Carolina ",1km,landslide,rain,small,unknown,0,,,,,glc,958,United States,US,North Carolina,1150,Maggie Valley,2.71542,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-83.071,35.507
OregonLive The Oregonian,http://www.oregonlive.com/news/index.ssf/2009/01/high_winds_heavy_rain_expected.html,959,01/07/2009 12:00:00 AM,,"Rochester along the Cowlitz and Lewis rivers, Washington","In Southwest Washington, officials called for residents to evacuate parts of the town of Rochester along the Chehalis River, and to the east, residents were dealing with landslides and flooding along the Cowlitz and Lewis rivers","Rochester along the Cowlitz and Lewis rivers, Washington",5km,landslide,rain,small,unknown,0,,,,,glc,959,United States,US,Oregon,1895,Rainier,4.05885,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.893,46.11
Ballard News Tribune,https://ballardnewstribune.com/robinson-papers/2009/02/02/mudslide-forced-normandy-park-woman-run-her-life,961,01/07/2009 12:00:00 AM,,"Sixth Place South in Normandy Park , Washington","Normandy Park resident Chris DeLaRosa says she ran for her life when a mudslide came pouring down her driveway on Jan. 7. The mud and water went almost to the Des Moines Marina, according to DeLaRosa. Rebecca Livingston is a student in the University of Washington Department of Communication News Laboratory","Sixth Place South in Normandy Park , Washington",5km,mudslide,rain,small,unknown,0,,,,,glc,961,United States,US,Washington,6335,Normandy Park,0.68778,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.334,47.432
Corvallis Gazette-Times,http://www.gazettetimes.com/news/local/floodwater-closing-i--at-centralia-wash/article_9b96973e-313d-50e8-b204-425c43c03aa3.html,962,01/07/2009 12:00:00 AM,,"Concrete, 70 miles northeast of Seattle,Washington","Rainfall totals for the 24 hours ending at 2 p.m. Wednesday included 6 inches at Marblemount in the Cascade foothills east of Mount Vernon; 4.70 inches at Glacier, near Mount Baker east of Bellingham; 4.59 inches at Paradise in Mount Rainier National Park, 3.63 inches in Olympia; and 1.64 inches at Seattle-Tacoma International Airport. There were no immediate reports of injuries. A woman was rescued after being trapped briefly in a house that was hit by a mudslide and collapsed in Concrete, 70 miles northeast of Seattle. Town Fire Chief Rich Phillips said medics indicated the woman was okay.","Concrete, 70 miles northeast of Seattle,Washington",5km,landslide,downpour,medium,unknown,0,,,,,glc,962,United States,US,Washington,1347,Darrington,33.29411,09/15/2014 05:52:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-121.75,48.538
Corvallis Gazette-Times,http://www.gazettetimes.com/news/local/floodwater-closing-i--at-centralia-wash/article_9b96973e-313d-50e8-b204-425c43c03aa3.html,963,01/07/2009 12:00:00 AM,,"Acme area, Whatcom County, Washington","U.S. 97 was closed by slides at Blewett Pass, between Leavenworth and Ellensburg, and 200 to 300 feet of the northbound lane was washed away by flooding from Peshastin Creek, state Trooper Richard A. Magnussen said. Several Western Washington counties declared emergencies due to mudslides and flooding. In Whatcom County, just south of the Canadian border, slides hit at least three homes, two in the Acme area, said Bellingham police Lt. Rick Sucee, a spokesman at the county’s emergency operations center.","Acme area, Whatcom County, Washington",1km,mudslide,rain,small,unknown,0,,,,,glc,963,United States,US,Washington,6441,Sudden Valley,10.78797,09/11/2014 09:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2,48.72
TDN,http://tdn.com/news/slide-pushes-kelso-home-off-foundation/article_d2b8e780-ecfd-5ad1-9e8f-fa19ea3c0109.html,964,01/08/2009 12:00:00 AM,,"Burcham Street, Kelso, Washington",A rain-saturated hillside gave way and knocked a Kelso home eight feet off its foundation Thursday morning. An area roughly 25-feet by 50-feet gave way without warning. Nearby homes were evacuated after the landslide on Burcham Street.,"Burcham Street, Kelso,Washington",5km,mudslide,unknown,small,unknown,0,,,,,glc,964,United States,US,Washington,11925,Kelso,1.87666,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.909,46.1299
Seattle Pi,http://www.seattlepi.com/local/article/Seattle-dodged-bullet-with-landslides-this-time-1296967.php,965,01/08/2009 01:00:00 AM,,"9700 block of Rainier Avenue South, Seatle, Washington ","The Olympic Mountains' ""rain shadow"" appears to have shielded Seattle from the full brunt of the soggy winter storm that has caused landslides and major flooding across much of Western Washington. Some hillsides and trees did collapse due to soil failure after the severe rains and wind pounded the region. One landslide in the city spilled out onto the 9700 block of Rainier Avenue South early Thursday.  About 100 cubic yards of dirt collapsed at about 1 a.m., pulling down two trees, according to the city's Department of Transportation, and traffic had to be diverted at Waters Avenue South and at the Renton Municipal Airport to Renton Avenue South.  In West Seattle, a tree toppled over onto 39th Avenue at Fauntleroy Way Southwest. Crews were dispatched to the location just after 10 a.m.  ","9700 block of Rainier Avenue South, Seatle, Washington ",5km,complex,rain,small,unknown,0,,,,,glc,965,United States,US,Washington,22699,Mercer Island,5.27987,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.273,47.538
The Bellingham Herald,http://www.bellinghamherald.com/latestheadlines/story/745810.html,966,01/08/2009 06:00:00 AM,,"Mount Baker Highway at about milepost 16, Washington","Residents of the slide area near Marshall Hill Road were stunned by what they saw at dawn’s first light Thursday, Jan. 8. Rocks and trees, borne on a river of mud, had swept down a small creek from the forested slopes to the north and west. The torrent swept away cars, sheds and utility poles and closed Mount Baker Highway at about milepost 16. The stink of propane from leaking tanks hung in the air. “I just can’t believe this,” area resident Nancy Vaught said as she surveyed the mess. Vaught, spent a few hours at the Red Cross emergency shelter at Nugents Corner after the slide, and returned to the area to take a look once the sun was up. Authorities reported five homes were damaged in the slide but no one was injured. Two people who were trapped in one of the houses because of downed power lines got out safely, Washington State Patrol Trooper Keith Leary said. The slide, which was at least 100 yards across, closed the highway east of Deming. ","Mount Baker Highway at about milepost 16, Washington",5km,mudslide,rain,small,unknown,0,,,,,glc,966,United States,US,Washington,3324,Peaceful Valley,8.1479,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.037,48.929
Reuters,https://www.reuters.com/article/idUSLD370656._CH_.2400,968,01/13/2009 12:00:00 AM,,"Chehna in Jijel province, some 360 km (225 miles) from the capital Algiers","ALGIERS, Jan 13 (Reuters) - A mother and her five children were killed when a landslide struck their home in eastern Algeria on Tuesday, official news agency APS reported.  The landslide was triggered by heavy rains in the village of Chehna in Jijel province, some 360 km (225 miles) from the capital Algiers, APS cited emergency services as saying.","Chehna in Jijel province, some 360 km (225 miles) from the capital Algiers",5km,landslide,downpour,medium,unknown,6,,,,,glc,968,Algeria,DZ,Jijel,148000,Jijel,2.88422,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,5.765,36.7946
Bothell-Kenmore Reporter,http://www.bothell-reporter.com/news/mudslide-backs-up-northshore-traffic/,969,01/13/2009 08:50:00 AM,,"SR 522, near Bothell, Washington","Traffic was backed up out of Bothell through Kenmore Tuesday morning from approximately 8:50-9:10 a.m. due to a mudslide, which blocked the right lanes of westbound State Route 522 just east of State Route 104.","SR 522, near Bothell, Washington",1km,mudslide,rain,small,unknown,0,,,,,glc,969,United States,US,Washington,33505,Bothell,0.57422,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2072,47.7573
The Star Online,https://www.thestar.com.my/news/nation/2009/01/16/transborneo-highway-hit-by-landslide/,971,01/16/2009 01:00:00 PM,,"Sekolah Kebangsaan Sungai Arip, Mukah about 600 km from Kuching ","KUCHING: The Trans-Borneo Highway that connects the north and south of Sarawak is now impassable Friday it was hit by a landslide at KM135 of the Jalan Sibu-Bintulu stretch at about 1pm on Friday.  A Mukah police district spokesman contacted by Bernama said the incident happened near Sekolah Kebangsaan Sungai Arip, Mukah about 600km from Kuching.  ""Based on information we received the Trans-Borneo Highway is cut for 300m,"" he said.  ","Sekolah Kebangsaan Sungai Arip, Mukah about 600 km from Kuching ",10km,landslide,rain,medium,unknown,0,,,,,glc,971,Malaysia,MY,Sarawak,570407,Kuching,2.42408,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,110.3442,1.531
NBC News,http://www.nbcnews.com/id/28720034/ns/world_news-asiapacific/,972,01/19/2009 11:00:00 PM,,"Buwung Mas Sekotong, about 1,060km east of the capital, Jakarta,","A LANDSLIDE at a gold mine killed four workers and left 11 missing on the Indonesian island of Lombok, a Health Ministry official said yesterday. At least 20 people were buried under mud and rock on Saturday night, but five managed to get out alive, said Rustam Pakaya, the head of the ministry's Crisis Center.The slide was triggered by several days of severe rainfall around the village of Buwung Mas Sekotong, about 1,060km east of the capital, Jakarta, he said.","Buwung Mas Sekotong, about 1,060km east of the capital, Jakarta,",25km,landslide,rain,medium,unknown,4,,,,,glc,972,Indonesia,ID,Nusa Tenggara Barat,0,Kampungbaru,0.63292,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,116.662,-8.5073
Reuters,https://www.reuters.com/article/idUSLD91292._CH_.2400,1085,08/13/2009 12:00:00 AM,,Freetown,"police said at least seven people were killed and 15 injured when homes collapsed in a landslide in heavy rain in Freetown Thursday. Rescue teams were searching for bodies beneath mud, stones and rubble from three hillside houses that collapsed, police official Ibrahima Samura told Reuters.",Freetown,5km,landslide,downpour,medium,unknown,7,,,,,glc,1085,Sierra Leone,SL,Western Area,802639,Freetown,0.13721,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-13.2287,8.4841
Hindustan Times,http://www.hindustantimes.com/world/two-dead-in-brunei-landslides-floods/story-qSO1J3fjnxUhOQ6Dp39WUI.html,974,01/22/2009 12:00:00 AM,,Muara District,"Floods and landslides claim two lives in Brunei Muara District. Two people in Brunei have been killed after heavy rains caused landslides and flooding that were among the sultanate's worst ever, a newspaper reported Thursday.  A 46-year-old woman died when a landslide crashed into her house as she slept, the Borneo Bulletin reported, citing a police spokesperson. In another incident, a 19-year-old woman trying to walk home from work drowned in fast-flowing flood waters, the report said. ",Muara District,5km,landslide,downpour,medium,unknown,2,,,,,glc,974,Brunei,BN,Brunei and Muara,64409,Bandar Seri Begawan,16.55352,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,115.0668,5.031
China.org.cn,http://www.china.org.cn/pictures/2009-01/24/content_17179420.htm,975,01/22/2009 12:00:00 AM,,Mexico City,"Photo taken on Jan. 22, 2009 shows a scene of a landslide in Mexico City, capital of Mexico, Jan. 22, 2009. The landslide caused two people dead with another one injured. The reason is estimated to be the loose structure of the hill caused by continuous heavy rains last year. (Xinhua/Pool Contreras) ",Mexico City,50km,landslide,downpour,medium,unknown,2,,,,,glc,975,Mexico,MX,The Federal District,12294193,Mexico City,0.15208,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-99.1276,19.4271
ABC.net.au,http://www.abc.net.au/news/2009-01-27/fresh-warnings-after-storm-kills-26-in-southern/274060,976,01/26/2009 12:00:00 AM,,South of Naples,"A young woman was swept to her death Sunday by a wave as she walked on a beach, while torrential rain triggered a mudslide on the main highway south of Naples, killing two people and injuring five. ",South of Naples,5km,mudslide,downpour,medium,unknown,2,,,,,glc,976,Italy,IT,Campania,959470,Napoli,0.79183,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,14.252,40.8403
One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1055,07/22/2009 12:00:00 AM,,"Kerseong, West Bengal ","The disruption of popular toy train services in Darjeeling disappointed the tourists as the rail track was damaged by the landslides in the region. The track has been washed away at Gayabari, Kerseong and Darjeeling due to heavy incessant rainfall and landslides from the hills.","Kerseong, West Bengal ",10km,landslide,downpour,medium,unknown,0,,,,,glc,1055,India,IN,Bengal,46427,Kārsiyāng,0.15035,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.2788,26.8826
ABC Channel 7 Eyewitness News,http://abc7.com/archive/6644840/,978,02/06/2009 12:00:00 AM,,Sierra Madre foothills northeast of downtown Los Angeles,"The National Weather Service has issued flash flood watches through Saturday (Feb 6)afternoon for burn areas as well as for valleys, foothills and coastal areas from Ventura to San Diego counties and the Inland Empire. Meteorologists say the second wave of a Pacific storm front could dump an inch of rain or more, with showers, isolated thunderstorms and possible lightning strikes. On Friday, a mudslide inundated streets in the Sierra Madre foothills northeast of downtown Los Angeles, closing some streets for several hours. Another slide left about 3 feet of mud on a road in the San Fernando Valley community of Sylmar.",Sierra Madre foothills northeast of downtown Los Angeles,5km,mudslide,rain,small,unknown,0,,,,,glc,978,United States,US,California,10917,Sierra Madre,0.26489,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.05,34.162
One India,https://www.oneindia.com/2009/07/23/darjeelingtoy-trainsuspended.html,1054,07/22/2009 12:00:00 AM,,"Gayabari,  West Bengal ","The disruption of popular toy train services in Darjeeling disappointed the tourists as the rail track was damaged by the landslides in the region. The track has been washed away at Gayabari, Kerseong and Darjeeling due to heavy incessant rainfall and landslides from the hills.","Gayabari,  West Bengal ",10km,landslide,downpour,medium,unknown,0,,,,,glc,1054,India,IN,Bengal,46427,Kārsiyāng,4.62496,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.3143,26.8572
GMA News Online,http://www.gmanetwork.com/news/news/regions/147987/4-killed-2-missing-in-negros-floods-landslides/story/,980,02/07/2009 12:00:00 AM,,Barangay Sagbang in Valencia town,"Four people died while two others were missing as flashfloods and landslides caused by torrential rain struck Negros Oriental in central Philippines over the weekend, the Office of Civil Defense (OCD) said. Mudslides meanwhile hit the home of the Fernandez family in Barangay Sagbang in Valencia town last Saturday, resulting to the deaths of Susan and Judelyn, and injuries to Julius and Marites.",Barangay Sagbang in Valencia town,5km,landslide,downpour,medium,unknown,2,,,,,glc,980,Philippines,PH,Central Visayas,0,Valencia,2.33966,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,123.226,9.29
GMA News Online,http://www.gmanetwork.com/news/news/regions/171859/landslide-kills-2-sisters-in-laguna-floods-affect-over-103-000-in-luzon/story/,983,09/09/2009 12:00:00 AM,,"Sitio Camcaman in Real village in Calamba City, Laguna","At least two people were killed even as 103,383 people in Central and Southern Luzon were affected in floods and landslides caused by heavy rains in recent days, the National Disaster Coordinating Council (NDCC) said on Wednesday.  In its 9 a.m. report, the NDCC said 21,969 families or 103,383 people were affected in Zambales, Bataan and Pampanga.  The NDCC said the two fatalities - Nerissa Nievres, 3, and sister Nancy, 2 - died after a landslide hit their house at Sitio Camcaman in Real village in Calamba City, Laguna. ","Sitio Camcaman in Real village in Calamba City, Laguna",10km,landslide,downpour,medium,unknown,2,,,,,glc,983,Philippines,PH,Calabarzon,4164,Tignoan,6.62506,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,121.56,14.545
Drilling Today,http://dthrotarydrilling.com/News/24-april/VDOT.html,1010,04/20/2009 09:00:00 AM,,"Route 39 in Rockbridge County, Virginia",STAUNTON – The Virginia Department of Transportation is implementing repairs to the slope failure on Route 39 in Rockbridge County. Route 39 is closed from Route 252 to Route 729. The slide took place on April 20 and is located .5 mile west of Route 252. Heavy rain occurred on the morning of April 20 in the area of the slide.,"Route 39 in Rockbridge County, Virginia",1km,mudslide,downpour,small,unknown,0,,,,,glc,1010,United States,US,Virginia,1463,East Lexington,13.41471,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-79.4305,37.9137
NEWS.com.au,https://ns1.sammyboy.com/threads/take-care-aus-eastern-states-bunker-down-wild-weather.36247/,1118,08/23/2009 12:00:00 AM,,"Stowport, near Burnie, Tasmania","The East Coast landslide followed one at Stowport, near Burnie, at the weekend. Burnie received a 25mm soaking yesterday (8/24) and more rain is expected today (8/25), tomorrow and Thursday. The town has already received 131.7mm of rain this month, almost double the 69.8mm for the previous August. ","Stowport, near Burnie, Tasmania",5km,complex,downpour,small,unknown,0,,,,,glc,1118,Australia,AU,Tasmania,19972,Burnie,0.40001,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,145.9063,-41.0528
